PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived,Scoring,Rank of Scoring,Binary outcomes reversed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,FPs,TPs,SUM of FPs,Sum of TPs,SUM of FNs,FP rate,TP rate,Segmental Areas,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0,0,0,0,342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
679,0.826912817,1.354812621,1.018345686,0.432550428,6.970232556,0.295729082,0,1.578366647,1,1,0,1,0,342,0.001821494,0,0,,AUC,0.416216619,,,,,,,,,,,,,,,,,,,,,
886,0.826912817,1.354812621,0.710714196,-0.474278822,5.729625843,-0.061964088,0,1.409293361,2,1,0,2,0,342,0.003642987,0,0,,,,,,,,,,,,,,,,,,,,,,,,
639,0.826912817,1.354812621,0.864529941,-0.474278822,5.729625843,0.150589167,0,1.371758314,3,1,0,3,0,342,0.005464481,0,0,,,,,,,,,,,,,,,,,,0.020562498,-0.016172668,-0.047784493,-0.076360772,0.244893146,-0.142011656,0.383838384
14,0.826912817,-0.737281045,0.710714196,0.432550428,5.729625843,-0.01869881,0,1.367737742,4,1,0,4,0,342,0.007285974,0,0,,,,,,,,,,,,,,,,,,0.016065746,0.014602872,0.014368708,0.013965231,0.013351704,0.016447097,0.012722923
26,0.826912817,1.354812621,0.633806323,0.432550428,5.729625843,-0.016434929,1,1.337256512,5,0,1,4,1,341,0.007285974,0.002923977,0,,,,,,,,,,,,,,,,,,,,,,,,
611,0.826912817,1.354812621,0.710714196,0.432550428,5.729625843,-0.01869881,0,1.333903006,6,1,0,5,1,341,0.009107468,0.002923977,5.326E-06,,,,,,,,,,,,,,,,,,,,,,,,
568,0.826912817,1.354812621,-0.05836453,-0.474278822,4.489019129,-0.223957338,0,1.165232246,7,1,0,6,1,341,0.010928962,0.002923977,5.326E-06,,,,,,,,,,,,,,,,,,,,,,,,
361,0.826912817,-0.737281045,0.787622069,0.432550428,4.489019129,-0.086615234,0,1.069891581,8,1,0,7,1,341,0.012750455,0.002923977,5.326E-06,,,,,,,,,,,,,,,,,,,,,,,,
168,0.826912817,1.354812621,1.172161432,0.432550428,4.489019129,-0.086615234,0,1.017681826,9,1,0,8,1,341,0.014571949,0.002923977,5.326E-06,,,,,,,,,,,,,,,,,,,,,,,,
859,0.826912817,1.354812621,-0.442903893,-0.474278822,3.248412416,-0.260515491,1,0.884982867,10,0,1,8,2,340,0.014571949,0.005847953,0,,,,,,,,,,,,,,,,,,,,,,,,
87,0.826912817,-0.737281045,-1.058166874,0.432550428,3.248412416,0.043683684,0,0.835771624,11,1,0,9,2,340,0.016393443,0.005847953,1.0652E-05,,,,,,,,,,,,,,,,,,,,,,,,
438,-0.369157507,1.354812621,-0.442903893,1.339379678,3.248412416,-0.270744208,1,0.723348907,12,0,1,9,3,339,0.016393443,0.00877193,0,,,,,,,,,,,,,,,,,,,,,,,,
737,0.826912817,1.354812621,1.402885049,0.432550428,3.248412416,0.043683684,0,0.684336768,13,1,0,10,3,339,0.018214936,0.00877193,1.5978E-05,,,,,,,,,,,,,,,,,,,,,,,,
382,0.826912817,1.354812621,-2.211784963,-0.474278822,2.007805702,-0.331281387,1,0.675741453,14,0,1,10,4,338,0.018214936,0.011695906,0,,,,,,,,,,,,,,,,,,,,,,,,
775,-0.369157507,1.354812621,1.864332285,0.432550428,3.248412416,-0.185219821,1,0.670199517,15,0,1,10,5,337,0.018214936,0.014619883,0,,,,,,,,,,,,,,,,,,,,,,,,
166,0.826912817,-0.737281045,-1.596521982,-0.474278822,2.007805702,-0.235025199,1,0.66650666,16,0,1,10,6,336,0.018214936,0.01754386,0,,,,,,,,,,,,,,,,,,,,,,,,
79,-0.369157507,-0.737281045,-2.224859301,-0.474278822,2.007805702,-0.064479511,1,0.64771777,17,0,1,10,7,335,0.018214936,0.020467836,0,,,,,,,,,,,,,,,,,,,,,,,,
185,0.826912817,1.354812621,-1.981061345,-0.474278822,2.007805702,-0.204840122,1,0.646760309,18,0,1,10,8,334,0.018214936,0.023391813,0,,,,,,,,,,,,,,,,,,,,,,,,
789,0.826912817,-0.737281045,-2.211784963,0.432550428,2.007805702,-0.23401903,1,0.62651762,19,0,1,10,9,333,0.018214936,0.026315789,0,,,,,,,,,,,,,,,,,,,,,,,,
